# FIRENZE V6.3
#
# Close Approach output file for integration on 2023-02-08 17:26:13.537507
# Configuration file used: /home/cgregg/codes/PhD_Work/InterstellarMeteoroids/GalacticSimulation/Gaia_DR3_4472832130942575872_110Myr_2000x1Myr.cfg
# Galactic Simulation
# Galactic parameters [M a b] - (Solar masses AU AU):
# Bulge: [14000000000.0, 0.0, 72192682.625] Disk: [79100000000.0, 721926826.25, 51566201.875] Halo: [698000000000.0, 0.0, 4950355380.0]
# Solar parameters [AU, AU/yr]:
# pos = [ 1.50253513e+09 -9.05737086e+08 -1.87942738e+07] vel = [-22.21125568 -42.15195327   0.34297791]
# Galactic Potential: 0 (0-Bailer-Jones 2015, 1-Dybczynski & Berski 2015)
# Integration Method: 2 (0-Euler, 1-RK4, 2-RKF)
# Time-step error tolerance (For RKF): 1e-06
# Initial time-step: 999.9811137685292
# Output every 1000.0 iterations
# heliocentric Distance calculation setting: 3
# 	[0-never, 1 - At the end, 2-When writing to file, 3-Every step]
# Number of initial particles: 2
# Integration lasting for 110000000.0 yrs
# Integrating the following bodies in the Milky Way starting at JD=-36523273294.125
#############################################################################################################
t x y z vx vy vz body jd aprnt_x aprnt_y aprnt_z aprnt_vel_x aprnt_vel_y aprnt_vel_z helio_dist CloseApproachFlag
99978111.75457755 -1718255397.54189 -996369.33129 +5483076.73926 -28.74927 +49.47582 +5.33807 Gaia_DR3_4472832130942575872_debris_-291203794.125_874 -5578294.125 -18356.04529 +72151.21540 -52416.84570 -31.06187 +0.90580 +3.80777 91050.909 1
99979111.73569132 -1718190196.31254 -1004721.26569 +5478135.43452 -27.51615 +49.58637 +5.41142 Gaia_DR3_4472832130942575872_debris_-13832482294.125_954 -5213044.125 +44531.97201 +15230.17084 -58888.40152 -29.83007 +1.01634 +3.88116 75385.002 1
99980111.71680509 -1718217711.28600 -955135.83554 +5483546.73385 -27.51483 +49.58637 +5.41138 Gaia_DR3_4472832130942575872_debris_-13832482294.125_954 -4847794.125 +14702.46896 +16246.49006 -55007.31305 -29.83007 +1.01634 +3.88116 59210.772 1
99981111.69791886 -1718245224.94188 -905550.40465 +5488957.99335 -27.51352 +49.58637 +5.41134 Gaia_DR3_4472832130942575872_debris_-13832482294.125_954 -4482544.125 -15127.03408 +17262.80927 -51126.22418 -29.83007 +1.01634 +3.88116 56042.150 1
99982111.67903262 -1718272737.28023 -855964.97307 +5494369.21299 -27.51220 +49.58637 +5.41130 Gaia_DR3_4472832130942575872_debris_-13832482294.125_954 -4117294.125 -44956.53713 +18279.12846 -47245.13495 -29.83007 +1.01634 +3.88116 67729.754 1
99983111.66014639 -1718236010.83861 -804672.67292 +5447118.20187 -27.49288 +49.58269 +5.41259 Gaia_DR3_4472832130942575872_debris_-25543858294.125_1020 -3752044.125 -10548.57777 +21002.31555 -96026.23623 -29.81207 +1.01266 +3.88249 98860.547 1
99983111.66014639 -1718300248.30105 -806379.54083 +5499780.39273 -27.51088 +49.58637 +5.41126 Gaia_DR3_4472832130942575872_debris_-13832482294.125_954 -3752044.125 -74786.04021 +19295.44763 -43364.04538 -29.83007 +1.01634 +3.88116 88575.993 1
99984111.64126016 -1718179260.35144 -713307.03090 +5516329.99638 -27.50212 +49.58763 +5.41130 Gaia_DR3_4472832130942575872_debris_-15296404294.125_350 -3386794.125 +43882.10959 +63798.84387 -28344.49163 -29.82262 +1.01760 +3.88125 82458.124 1
99984111.64126016 -1718149184.28093 -819052.52762 +5515738.11498 -27.50513 +49.58520 +5.43411 Gaia_DR3_4472832130942575872_debris_-14198462794.125_1695 -3386794.125 +73958.18010 -41946.65284 -28936.37303 -29.82564 +1.01517 +3.90405 89814.519 1
99985111.62237392 -1718206761.29294 -663720.33782 +5521741.17857 -27.50080 +49.58763 +5.41126 Gaia_DR3_4472832130942575872_debris_-15296404294.125_350 -3021544.125 +14060.05072 +64816.42266 -24463.31908 -29.82262 +1.01760 +3.88125 70691.638 1
99985111.62237392 -1718176688.23651 -769468.26170 +5521172.10054 -27.50382 +49.58520 +5.43407 Gaia_DR3_4472832130942575872_debris_-14198462794.125_1695 -3021544.125 +44133.10715 -40931.50122 -25032.39711 -29.82564 +1.01517 +3.90405 65190.029 1
99986111.6034877 -1718234260.91686 -614133.64423 +5527152.32065 -27.49948 +49.58763 +5.41122 Gaia_DR3_4472832130942575872_debris_-15296404294.125_350 -2656294.125 -15762.00813 +65834.00140 -20582.14635 -29.82262 +1.01760 +3.88125 70754.374 1
99986111.6034877 -1718204190.87448 -719883.99520 +5526606.04600 -27.50250 +49.58520 +5.43403 Gaia_DR3_4472832130942575872_debris_-14198462794.125_1695 -2656294.125 +14308.03424 -39916.34957 -21128.42100 -29.82564 +1.01517 +3.90405 47375.574 1
99987111.58460146 -1718261759.22323 -564546.95018 +5532563.42259 -27.49817 +49.58763 +5.41118 Gaia_DR3_4472832130942575872_debris_-15296404294.125_350 -2291044.125 -45584.06700 +66851.58009 -16700.97348 -29.82262 +1.01760 +3.88125 82619.389 1
99987111.58460146 -1718117132.46429 -627411.11351 +5544998.48181 -27.49484 +49.58798 +5.41270 Gaia_DR3_4472832130942575872_debris_-14930423794.125_553 -2291044.125 +99042.69194 +3987.41676 -4265.91426 -29.81930 +1.01795 +3.88276 99214.678 1
99987111.58460146 -1718231692.19489 -670299.72815 +5532039.95132 -27.50118 +49.58520 +5.43399 Gaia_DR3_4472832130942575872_debris_-14198462794.125_1695 -2291044.125 -15517.03865 -38901.19788 -17224.44475 -29.82564 +1.01517 +3.90405 45285.353 1
99987111.58460146 -1718216759.69047 -561788.14048 +5479759.22971 -27.50400 +49.58953 +5.41544 Gaia_DR3_4472832130942575872_debris_-10904638294.125_1728 -2291044.125 -584.53423 +69610.38979 -69505.16636 -29.82845 +1.01949 +3.88550 98371.318 1
